Class,YOLOv8n @ 640,YOLOv8s @ 1024,YOLOv8s @ 640
Alligator crack,0.6673602134094943,0.6775117912982248,0.695168898766863
Longitudinal crack,0.5697680944754042,0.6238380478058024,0.5982936299985122
Other corruption,0.7375299959079479,0.7614084981239864,0.757518477166852
Pothole,0.473718220398863,0.5394637175662731,0.5381392612390927
Transverse crack,0.5521011843483656,0.581746476639226,0.5825785768674333
