Class,YOLOv8n @ 640,YOLOv8s @ 1024,YOLOv8s @ 640
Alligator crack,0.6083279115159401,0.620039037085231,0.6543127907351495
Longitudinal crack,0.5398726114649681,0.6017834394904459,0.5770700636942675
Other corruption,0.7385003150598614,0.7555135475740391,0.7605545053560177
Pothole,0.41324921135646686,0.4585236395109885,0.47528916929547843
Transverse crack,0.5407953905076562,0.5659701492537313,0.5785074626865672
