Class,YOLOv8n @ 640,YOLOv8s @ 1024,YOLOv8s @ 640
Alligator crack,0.6375519828843275,0.6495268411179753,0.6743454949540538
Longitudinal crack,0.5799878924892372,0.6228036649480424,0.6035499890269517
Other corruption,0.6926018015373959,0.7184803969053862,0.7198415100892079
Pothole,0.4994153068893015,0.5406577140173817,0.5505730896367738
Transverse crack,0.5659974556099893,0.5873649989509921,0.5921411191665028
