Class,YOLOv8n @ 640,YOLOv8s @ 1024,YOLOv8s @ 640
Alligator crack,0.6697266999369789,0.6819605550105564,0.6956446630573144
Longitudinal crack,0.6265444027564387,0.6453465807876632,0.6325780465245396
Other corruption,0.6520756056872573,0.6849090321269207,0.6832667280983931
Pothole,0.6309817631734421,0.6586390975414752,0.6541963578407196
Transverse crack,0.5936643589980023,0.6104420155641628,0.6064339411362412
