Model,Image_Size,Parameters,mAP@50,mAP@50-95,Precision,Recall,F1-Score
YOLOv8n @ 640,640,3.0M,0.600095541708015,0.32021954481462683,0.6345985661104239,0.5681490879809786,0.599537726096303
YOLOv8s @ 640,640,11.1M,0.6343397688077507,0.34221778115646495,0.6544239473314416,0.609146798353496,0.6309736722812139
YOLOv8s @ 1024,1024,11.1M,0.6367937062867025,0.335302828367565,0.6562594562061557,0.6003659625828872,0.6270691658846512
