epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15168.5,1.65285,1.79223,1.49187,0.58666,0.52376,0.54761,0.29456,1.67596,1.80497,1.49175,0.005842,0.005842,0.005842
44,15511.4,1.65528,1.79066,1.49153,0.59,0.52379,0.5489,0.29507,1.67265,1.80119,1.4895,0.005743,0.005743,0.005743
45,15859.6,1.66059,1.77648,1.49197,0.59153,0.52475,0.54977,0.2957,1.67225,1.79976,1.48909,0.005644,0.005644,0.005644
46,16206.8,1.64593,1.76611,1.48688,0.59132,0.52589,0.55021,0.29613,1.67169,1.7964,1.48828,0.005545,0.005545,0.005545
47,16556.9,1.64584,1.7598,1.48295,0.5936,0.5278,0.55145,0.29662,1.66987,1.79367,1.48683,0.005446,0.005446,0.005446
48,16902.3,1.63508,1.75147,1.47116,0.5922,0.5288,0.55284,0.29733,1.66811,1.79005,1.48504,0.005347,0.005347,0.005347
49,17245.9,1.63121,1.74279,1.47281,0.59206,0.52892,0.553,0.29816,1.66735,1.78815,1.48402,0.005248,0.005248,0.005248
50,17589,1.64474,1.74398,1.47773,0.5931,0.52906,0.55392,0.29861,1.66702,1.78682,1.48356,0.005149,0.005149,0.005149
51,17931.7,1.63848,1.74479,1.4732,0.59451,0.52851,0.55466,0.2988,1.66869,1.78688,1.48431,0.00505,0.00505,0.00505
52,18274.5,1.62648,1.72993,1.46709,0.59465,0.52842,0.55513,0.29926,1.66832,1.78554,1.48352,0.004951,0.004951,0.004951
53,18619.5,1.63145,1.72153,1.468,0.59692,0.5303,0.55566,0.2998,1.66853,1.78273,1.48308,0.004852,0.004852,0.004852
54,18961.2,1.62641,1.71802,1.4629,0.59741,0.53023,0.55608,0.30016,1.6683,1.7806,1.48215,0.004753,0.004753,0.004753
55,19305.2,1.62289,1.71054,1.46205,0.59995,0.53032,0.55726,0.30074,1.66745,1.77613,1.48115,0.004654,0.004654,0.004654
56,19647.9,1.62107,1.7035,1.45762,0.60107,0.53109,0.55828,0.30097,1.66586,1.77784,1.48007,0.004555,0.004555,0.004555
57,19990.8,1.61943,1.69683,1.45398,0.60488,0.53061,0.55893,0.30148,1.66479,1.77416,1.47847,0.004456,0.004456,0.004456
58,20335.3,1.61541,1.68944,1.4544,0.6048,0.53062,0.56059,0.3021,1.66257,1.76988,1.47714,0.004357,0.004357,0.004357
59,20678.4,1.61149,1.68709,1.45397,0.60449,0.52951,0.56068,0.30245,1.66074,1.7672,1.47605,0.004258,0.004258,0.004258
60,21022.1,1.60919,1.68104,1.44798,0.60577,0.52963,0.5615,0.30308,1.66149,1.76678,1.47573,0.004159,0.004159,0.004159
61,21366.1,1.60582,1.67317,1.44739,0.60533,0.52998,0.56199,0.30364,1.66083,1.76504,1.47504,0.00406,0.00406,0.00406
62,21708.5,1.59616,1.66065,1.44721,0.60359,0.53121,0.56324,0.30433,1.65902,1.76306,1.47398,0.003961,0.003961,0.003961
63,22053.9,1.60096,1.65645,1.4443,0.60422,0.53126,0.56373,0.30496,1.65861,1.76075,1.47318,0.003862,0.003862,0.003862
64,22399.9,1.59544,1.64821,1.43702,0.60583,0.52979,0.56409,0.30584,1.6581,1.75787,1.47229,0.003763,0.003763,0.003763
65,22742.8,1.59434,1.65141,1.43952,0.60815,0.53038,0.56478,0.30626,1.65641,1.75498,1.47093,0.003664,0.003664,0.003664
66,23086.4,1.59386,1.645,1.43905,0.60664,0.53225,0.56548,0.30669,1.65634,1.75288,1.47037,0.003565,0.003565,0.003565
67,23431.4,1.58445,1.63265,1.43589,0.60666,0.53186,0.56559,0.30668,1.65589,1.75044,1.46972,0.003466,0.003466,0.003466
68,23774.8,1.58398,1.61733,1.42892,0.60631,0.53373,0.5667,0.30709,1.65533,1.7477,1.46913,0.003367,0.003367,0.003367
69,24118.4,1.57884,1.6239,1.42656,0.61331,0.53092,0.56744,0.30726,1.65389,1.74537,1.46811,0.003268,0.003268,0.003268
70,24462.1,1.57982,1.6157,1.42401,0.61748,0.52986,0.5685,0.30819,1.65334,1.7432,1.46759,0.003169,0.003169,0.003169
71,24809.6,1.57296,1.61369,1.42138,0.61665,0.53388,0.57008,0.30874,1.65273,1.74027,1.46663,0.00307,0.00307,0.00307
72,25153.3,1.5656,1.59196,1.41882,0.61727,0.53227,0.57067,0.30937,1.65157,1.73738,1.46593,0.002971,0.002971,0.002971
73,25498.6,1.56837,1.59337,1.41635,0.61861,0.53389,0.57179,0.31046,1.65307,1.73593,1.4661,0.002872,0.002872,0.002872
74,25842.1,1.56303,1.58179,1.41277,0.61945,0.53374,0.57208,0.31065,1.65436,1.73506,1.46594,0.002773,0.002773,0.002773
75,26187.3,1.55867,1.57348,1.41005,0.61752,0.53703,0.57288,0.31122,1.65611,1.7324,1.46607,0.002674,0.002674,0.002674
76,26531.5,1.55385,1.57168,1.41089,0.61674,0.53799,0.57419,0.31193,1.65645,1.72646,1.46569,0.002575,0.002575,0.002575
77,26877.5,1.55214,1.55405,1.40244,0.61722,0.53876,0.57515,0.31269,1.65608,1.7204,1.46485,0.002476,0.002476,0.002476
78,27222,1.54728,1.55668,1.40169,0.61855,0.53899,0.57539,0.31303,1.65609,1.71572,1.46415,0.002377,0.002377,0.002377
79,27567.7,1.5422,1.55165,1.40129,0.61882,0.5379,0.57573,0.31353,1.65603,1.71175,1.46408,0.002278,0.002278,0.002278
80,27914.6,1.53644,1.53476,1.39711,0.61939,0.53718,0.57624,0.31359,1.65619,1.7075,1.46378,0.002179,0.002179,0.002179
81,28261,1.53739,1.52857,1.39532,0.62342,0.53647,0.57702,0.31439,1.65636,1.70804,1.46346,0.00208,0.00208,0.00208
82,28609.5,1.52757,1.51994,1.38929,0.62175,0.53917,0.57717,0.31476,1.65626,1.70677,1.46285,0.001981,0.001981,0.001981
83,28954.6,1.53334,1.524,1.3904,0.62407,0.53871,0.57841,0.31551,1.65627,1.70456,1.46221,0.001882,0.001882,0.001882
84,29298.1,1.5232,1.50805,1.3859,0.62404,0.53914,0.57858,0.3158,1.65741,1.69837,1.46215,0.001783,0.001783,0.001783
