epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7272.36,1.54796,1.51849,1.42071,0.62971,0.57679,0.60689,0.33245,1.62055,1.62591,1.45629,0.005842,0.005842,0.005842
44,7439.34,1.54917,1.51817,1.41452,0.63025,0.57787,0.60746,0.33285,1.6203,1.62523,1.45555,0.005743,0.005743,0.005743
45,7606.66,1.54296,1.5133,1.41367,0.62779,0.58061,0.60819,0.33366,1.61972,1.62376,1.45527,0.005644,0.005644,0.005644
46,7774.93,1.53229,1.49093,1.40456,0.62712,0.57907,0.60919,0.33424,1.62013,1.62067,1.45494,0.005545,0.005545,0.005545
47,7942.12,1.53559,1.48344,1.40981,0.62858,0.58059,0.6101,0.33453,1.61904,1.61824,1.45435,0.005446,0.005446,0.005446
48,8109.02,1.53143,1.47937,1.40331,0.62537,0.58366,0.61062,0.33499,1.61877,1.61713,1.4539,0.005347,0.005347,0.005347
49,8276.21,1.53083,1.47403,1.40002,0.63069,0.5814,0.61038,0.33561,1.61849,1.61421,1.4532,0.005248,0.005248,0.005248
50,8444.6,1.52425,1.46133,1.39408,0.6303,0.58187,0.6108,0.33598,1.61803,1.61234,1.45228,0.005149,0.005149,0.005149
51,8612.8,1.51372,1.45972,1.39186,0.62999,0.58211,0.6106,0.3364,1.61745,1.60875,1.45154,0.00505,0.00505,0.00505
52,8779.73,1.51948,1.43863,1.3907,0.63364,0.58259,0.61155,0.33655,1.61615,1.60764,1.4507,0.004951,0.004951,0.004951
53,8947.77,1.5123,1.43269,1.38334,0.63327,0.58412,0.61218,0.337,1.61615,1.60684,1.45012,0.004852,0.004852,0.004852
54,9114.85,1.50454,1.41717,1.37918,0.63563,0.58394,0.61286,0.33742,1.61593,1.60588,1.4494,0.004753,0.004753,0.004753
55,9282.29,1.50282,1.41316,1.38004,0.63533,0.58492,0.61316,0.33791,1.61626,1.60341,1.44893,0.004654,0.004654,0.004654
56,9449.98,1.49235,1.40903,1.3719,0.63087,0.58729,0.61369,0.33799,1.61615,1.60161,1.44838,0.004555,0.004555,0.004555
57,9618.13,1.49636,1.41597,1.3713,0.63313,0.58734,0.61409,0.33822,1.61623,1.59838,1.44755,0.004456,0.004456,0.004456
58,9785.89,1.48812,1.39503,1.36726,0.6327,0.58878,0.61405,0.33871,1.61611,1.59776,1.44714,0.004357,0.004357,0.004357
59,9953.15,1.4861,1.39127,1.36453,0.63493,0.58922,0.61506,0.33895,1.61574,1.59589,1.44651,0.004258,0.004258,0.004258
60,10120.7,1.47806,1.37134,1.35859,0.6364,0.5902,0.6167,0.33915,1.61641,1.5924,1.4461,0.004159,0.004159,0.004159
61,10287.8,1.47067,1.36479,1.35902,0.64041,0.58829,0.61694,0.33917,1.61658,1.58979,1.44609,0.00406,0.00406,0.00406
