epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.613,1.44028,1.3474,1.48285,0.59721,0.55661,0.5648,0.28295,1.72205,1.69036,1.66389,0.0700089,0.00333234,0.00333234
2,734.375,1.46499,1.40766,1.49867,0.57111,0.53137,0.52746,0.25628,1.76847,1.82746,1.70608,0.0399429,0.00659968,0.00659968
3,1087.06,1.5538,1.59624,1.56868,0.54417,0.49131,0.48672,0.23092,1.79936,1.89449,1.73775,0.00981095,0.00980103,0.00980103
4,1438.85,1.65137,1.81327,1.64599,0.54679,0.47307,0.48244,0.23007,1.79285,1.96738,1.74066,0.009703,0.009703,0.009703
5,1791.12,1.65846,1.82391,1.65496,0.53833,0.48954,0.50065,0.23931,1.77385,1.91406,1.72796,0.009604,0.009604,0.009604
6,2143.33,1.65141,1.80983,1.65176,0.53815,0.493,0.49301,0.23956,1.76338,1.92288,1.71986,0.009505,0.009505,0.009505
7,2495.44,1.64201,1.79836,1.65101,0.55213,0.51077,0.51299,0.25209,1.72484,1.86304,1.70877,0.009406,0.009406,0.009406
8,2848.1,1.63965,1.78771,1.64348,0.56183,0.52527,0.5306,0.2606,1.72812,1.84048,1.71186,0.009307,0.009307,0.009307
9,3201.25,1.62776,1.77599,1.63876,0.57706,0.51131,0.53101,0.26429,1.7121,1.85981,1.69382,0.009208,0.009208,0.009208
10,3554.09,1.62487,1.77866,1.63624,0.57846,0.51487,0.53725,0.26884,1.71958,1.81461,1.68412,0.009109,0.009109,0.009109
11,3906.85,1.62003,1.75633,1.62932,0.5782,0.53029,0.54386,0.27735,1.68924,1.76713,1.67247,0.00901,0.00901,0.00901
12,4259.46,1.61062,1.7359,1.62481,0.58757,0.5299,0.55082,0.28149,1.67976,1.73203,1.65675,0.008911,0.008911,0.008911
13,4612.52,1.61041,1.72474,1.6173,0.60961,0.5395,0.56372,0.28718,1.67891,1.73036,1.66152,0.008812,0.008812,0.008812
14,4964.65,1.61427,1.71324,1.62504,0.59631,0.54623,0.56554,0.28657,1.67925,1.71876,1.65718,0.008713,0.008713,0.008713
15,5316.41,1.5972,1.70198,1.61099,0.59281,0.54199,0.56576,0.2933,1.66711,1.71834,1.65798,0.008614,0.008614,0.008614
16,5668.85,1.59442,1.69909,1.61121,0.60876,0.54248,0.57577,0.29785,1.65872,1.68176,1.64451,0.008515,0.008515,0.008515
17,6020.91,1.59335,1.68093,1.60373,0.60354,0.56001,0.5768,0.29687,1.64939,1.68616,1.63461,0.008416,0.008416,0.008416
18,6372.26,1.59489,1.67249,1.60368,0.63554,0.54244,0.58552,0.30441,1.65031,1.658,1.63399,0.008317,0.008317,0.008317
19,6723.6,1.5774,1.65327,1.5898,0.61779,0.54833,0.5822,0.30346,1.65005,1.65682,1.63135,0.008218,0.008218,0.008218
20,7074.97,1.57636,1.65475,1.59444,0.63414,0.5592,0.59546,0.31008,1.63886,1.63391,1.62422,0.008119,0.008119,0.008119
21,7426.78,1.57705,1.64499,1.59096,0.62334,0.56997,0.59718,0.31227,1.63205,1.63748,1.61855,0.00802,0.00802,0.00802
22,7778.12,1.56819,1.62897,1.58331,0.61988,0.57235,0.5946,0.31174,1.63864,1.63275,1.62417,0.007921,0.007921,0.007921
23,8129.52,1.56723,1.62509,1.58275,0.63853,0.56159,0.59986,0.31473,1.63271,1.62463,1.61621,0.007822,0.007822,0.007822
24,8480.8,1.56496,1.61797,1.58528,0.62708,0.56901,0.59737,0.31581,1.63172,1.61781,1.61519,0.007723,0.007723,0.007723
25,8832.56,1.55298,1.59453,1.57363,0.61753,0.57692,0.60208,0.31956,1.6297,1.6097,1.61479,0.007624,0.007624,0.007624
26,9185.01,1.55692,1.59366,1.57593,0.62677,0.57504,0.60211,0.3186,1.6233,1.61031,1.61345,0.007525,0.007525,0.007525
27,9537.26,1.55246,1.58862,1.56862,0.63351,0.57715,0.60686,0.32111,1.62209,1.59431,1.61013,0.007426,0.007426,0.007426
28,9889.21,1.5453,1.58309,1.56554,0.64442,0.56797,0.6085,0.3233,1.61798,1.58566,1.60974,0.007327,0.007327,0.007327
29,10241.1,1.5476,1.58089,1.56751,0.63555,0.57635,0.60896,0.32356,1.61657,1.5844,1.60738,0.007228,0.007228,0.007228
30,10593.6,1.53878,1.57183,1.55753,0.63966,0.57974,0.61025,0.32463,1.61521,1.58312,1.60728,0.007129,0.007129,0.007129
31,10945.9,1.53301,1.54688,1.55253,0.64806,0.57761,0.61324,0.32513,1.61503,1.57644,1.60847,0.00703,0.00703,0.00703
32,11299,1.53117,1.54194,1.54882,0.64586,0.58244,0.61359,0.32566,1.61723,1.57637,1.60897,0.006931,0.006931,0.006931
33,11652,1.52411,1.52957,1.54353,0.65021,0.58069,0.61673,0.32771,1.61688,1.57427,1.60668,0.006832,0.006832,0.006832
34,12004.9,1.51865,1.51637,1.54025,0.65015,0.58059,0.61718,0.32872,1.61674,1.56882,1.60621,0.006733,0.006733,0.006733
35,12358.4,1.51874,1.52499,1.53741,0.65161,0.57821,0.61796,0.32842,1.61743,1.56449,1.60581,0.006634,0.006634,0.006634
36,12711.3,1.52022,1.52155,1.54073,0.65307,0.57882,0.61828,0.32874,1.6183,1.564,1.60549,0.006535,0.006535,0.006535
37,13064.8,1.51312,1.49962,1.53485,0.6573,0.57802,0.61884,0.32904,1.61894,1.56227,1.60588,0.006436,0.006436,0.006436
38,13417.6,1.50977,1.49759,1.52842,0.65719,0.5791,0.6183,0.32927,1.62021,1.56086,1.60631,0.006337,0.006337,0.006337
39,13770.2,1.50891,1.49177,1.53059,0.65146,0.5832,0.61852,0.32945,1.62025,1.55905,1.60596,0.006238,0.006238,0.006238
40,14122.9,1.50911,1.48386,1.52242,0.6507,0.58447,0.61833,0.32983,1.62125,1.55812,1.60594,0.006139,0.006139,0.006139
41,14477.1,1.49629,1.47019,1.52007,0.65247,0.58489,0.61812,0.32959,1.62136,1.55759,1.60564,0.00604,0.00604,0.00604
42,14830,1.49372,1.46807,1.51921,0.6487,0.58627,0.61807,0.32957,1.62122,1.55577,1.6054,0.005941,0.005941,0.005941
43,15183.7,1.48931,1.45348,1.51372,0.64919,0.586,0.61841,0.32996,1.62142,1.55478,1.60493,0.005842,0.005842,0.005842
44,15536.9,1.48621,1.44514,1.51324,0.65173,0.58487,0.61792,0.33017,1.62151,1.55386,1.6052,0.005743,0.005743,0.005743
45,15890.7,1.48085,1.44169,1.50767,0.65491,0.58538,0.61853,0.33038,1.62301,1.55342,1.60607,0.005644,0.005644,0.005644
46,16243.4,1.48173,1.42569,1.5069,0.6571,0.58372,0.61829,0.33086,1.62378,1.55222,1.60697,0.005545,0.005545,0.005545
47,16593.6,1.47381,1.42952,1.50308,0.65232,0.58513,0.61801,0.33113,1.62445,1.55109,1.60743,0.005446,0.005446,0.005446
48,16945.4,1.47409,1.4169,1.50147,0.65296,0.58599,0.61828,0.33154,1.62456,1.55082,1.60713,0.005347,0.005347,0.005347
